STID,MDStatus,SCHID,CLASSROOM,TREAT,AGE,SEX,FRL,ELL,RACE,SPED,prOOOPos,poOOOPos,prCR,poCR,prLR,poLR,prBF,poBF,pdROBOC,prVSP,poVSP,pdVSPt1
12132,1,16,116,3,7.38398357289528,2,0,1,4,0,7,8,18,15,3,5,19,44,6,3,18,8
12133,1,16,116,1,7.91512662559891,1,0,0,4,0,0,6,14,17,6,6,9,22,5,1,1,1
12137,1,15,108,3,7.19780971937029,2,0,0,1,0,10,11,13,14,5,5,13,40,7,6,16,11
12146,1,15,108,4,7.81382614647502,1,0,0,3,0,16,18,13,15,10,12,8,26,6,1,8,5
12154,1,15,109,3,7.08008213552361,2,1,1,4,0,16,18,12,14,8,9,4,20,3,1,18,8
12180,1,15,110,3,7.51266255989049,1,0,1,4,1,0,19,8,17,0,1,15,27,5,2,12,5
12193,1,15,111,4,7.32922655715264,2,1,1,4,0,17,18,17,18,7,8,14,20,3,1,20,3
12201,1,15,111,2,7.39493497604381,2,0,1,4,0,6,19,9,14,1,3,7,25,6,0,6,1
12225,1,15,112,4,7.03353867214237,2,0,1,5,0,0,6,14,15,3,7,20,38,6,5,26,13
12237,1,5,135,4,7.22792607802875,2,1,0,3,0,12,14,9,11,5,12,7,19,6,0,3,1
12288,1,5,138,2,7.39767282683094,1,0,0,3,0,19,18,13,13,10,8,20,47,7,8,15,7
12297,1,5,138,1,7.97809719370294,2,0,0,3,0,9,8,9,11,4,13,12,9,5,6,2,1
12305,1,5,107,3,7.70431211498973,1,1,0,5,0,15,14,14,14,10,10,24,58,9,7,25,7
12388,1,18,128,2,7.40041067761807,2,1,1,3,1,8,19,1,18,2,4,35,84,9,2,5,1
12390,1,18,128,3,7.59753593429158,1,1,1,3,0,6,18,13,14,5,12,7,35,3,2,10,2
12408,1,18,129,2,7.25256673511294,1,0,0,1,0,8,20,14,13,0,3,14,77,9,2,15,5
12410,1,18,129,4,8.145106091718,1,1,0,5,1,9,11,10,15,1,1,2,36,9,1,8,8
12421,1,18,129,3,6.97604380561259,2,0,0,1,0,0,9,9,11,6,7,14,34,7,2,6,2
12435,1,18,130,1,7.53182751540041,1,1,0,1,0,6,9,11,14,0,8,18,49,7,1,6,3
12436,1,18,130,3,7.42505133470226,1,0,1,3,0,16,19,14,24,9,9,13,51,8,1,25,12
12445,1,18,131,2,7.90143737166324,1,0,0,1,0,6,13,14,14,8,7,28,50,9,7,12,7
12450,1,18,131,4,7.01437371663244,1,0,0,1,0,7,12,11,12,8,9,18,45,7,4,24,7
12453,1,18,131,1,7.49623545516769,1,0,0,1,0,6,17,17,18,6,6,15,51,8,1,2,4
12501,1,19,141,1,7.13483915126626,1,1,1,4,0,6,9,11,14,0,3,6,6,2,3,0,3
12510,1,19,141,2,7.53182751540041,2,0,1,4,0,0,15,9,20,0,6,34,30,6,1,8,4
12527,1,19,142,4,7.83299110198494,2,1,0,3,1,14,15,6,10,0,0,17,26,6,5,6,1
12533,1,19,143,3,7.45242984257358,1,1,1,4,0,8,12,7,13,4,9,30,28,5,5,15,1
12546,1,19,144,1,7.13483915126626,2,1,1,4,0,9,0,14,15,6,9,1,6,4,0,2,0
12587,1,10,103,2,7.92881587953457,1,1,0,1,0,12,14,17,17,2,2,12,19,4,2,3,2
12589,1,10,103,3,7.03901437371663,2,0,0,5,0,9,15,12,15,7,9,12,18,3,3,6,1
12598,1,10,103,3,7.40588637919233,1,0,0,1,0,6,9,9,13,2,7,18,20,8,2,12,4
